populationID	populationName	location	geographicRegion	dataSet-of-origin	Latitude[degreesNorth]	Longitude[degreesEast]
1021	Baining-Rangulit	NewBritain	OCEANIA	PacificIslander	-4.4	151.9
1022	Tolai-Kabakada	NewBritain	OCEANIA	PacificIslander	-4.483	152.1
1023	Tolai-Vunairoto	NewBritain	OCEANIA	PacificIslander	-4.2	152.1
1024	Mussau	Mussau	OCEANIA	PacificIslander	-1.583	149.733
1025	Lavongai-North	NewHanover	OCEANIA	PacificIslander	-2.433	150.35
1026	Lavongai-South	NewHanover	OCEANIA	PacificIslander	-2.5667	150.4333
1027	Tigak	NewIreland	OCEANIA	PacificIslander	-2.6	150.87
1028	Nalik	NewIreland	OCEANIA	PacificIslander	-2.983	151.52
1029	Notsi	NewIreland	OCEANIA	PacificIslander	-3.05	151.65
1030	Kuot-Kabil	NewIreland	OCEANIA	PacificIslander	-3.067	151.7
1031	Kuot-Lamalaua	NewIreland	OCEANIA	PacificIslander	-3	151.5
1032	Madak	NewIreland	OCEANIA	PacificIslander	-3.1	151.7
1033	Saposa	Bougainville	OCEANIA	PacificIslander	-5.5833	154.67
1034	Teop	Bougainville	OCEANIA	PacificIslander	-5.85	155.18
1035	Aita	Bougainville	OCEANIA	PacificIslander	-5.9	155.083
1037	Nasioi	Bougainville	OCEANIA	PacificIslander	-6.483	155.833
1040	Micronesians	Micronesia	OCEANIA	PacificIslander	12.5	150
1041	Samoans	Polynesia	OCEANIA	PacificIslander	-13.35	-172.2
1042	Maoris	Polynesia	OCEANIA	PacificIslander	-41	174
1043	Ami	Taiwan	EAST_ASIA	PacificIslander	23.3	121
1044	Taruko	Taiwan	EAST_ASIA	PacificIslander	23.3	121
1101	Hadza	Tanzania	AFRICA	African	-3.8	35.3
1102	Sandawe	Tanzania	AFRICA	African	-5.5	35.5
1103	Iraqw	Tanzania	AFRICA	African	-4	35.5
1104	Turu	Tanzania	AFRICA	African	-5	35
1105	Mbugwe	Tanzania	AFRICA	African	-3.8	35.8
1106	Rangi	Tanzania	AFRICA	African	-5	36
1107	Burunge	Tanzania	AFRICA	African	-5.3	36
1108	Maasai-Tanzania	Tanzania	AFRICA	African	-4	37
1109	Akie	Tanzania	AFRICA	African	-5	37.5
1110	Pare	Tanzania	AFRICA	African	-4.5	38
1111	Mbugu	Tanzania	AFRICA	African	-4.8	38.5
1112	Baka	Cameroon	AFRICA	African	2.5	13.5
1113	Bakola	Cameroon	AFRICA	African	2.8	10
1114	Bedzan	Cameroon	AFRICA	African	5.5	11.6
1115	Mvae	Cameroon	AFRICA	African	3	12
1116	Ngumba	Cameroon	AFRICA	African	3	10.3
1117	FulaniAdamawa	Cameroon	AFRICA	African	9	13.5
1118	Kanuri	Cameroon	AFRICA	African	11.3	14.3
1119	Mada	Cameroon	AFRICA	African	10.8	14.1
1120	Zime	Cameroon	AFRICA	African	9	14.5
1121	Ouldeme	Cameroon	AFRICA	African	11	14.3
1122	Giziga	Cameroon	AFRICA	African	10.3	14.3
1123	Mandara	Cameroon	AFRICA	African	11.3	14
1124	Baggara	Cameroon	AFRICA	African	12.5	14.5
1125	Kotoko	Cameroon	AFRICA	African	11.8	14.8
1126	Zulgo	Cameroon	AFRICA	African	10.8	14
